RIEPILOGO SESSIONE S04
Data: 07/02/2026 18:03:15
Modalità: Automatica
------------------------------------------------------------
NOME FILE                           | PARAMETRO (Hz) 
------------------------------------------------------------
S04DATA0000_Hz00_860.bin            | 0.860          
S04DATA0001_Hz00_865.bin            | 0.865          
S04DATA0002_Hz00_870.bin            | 0.870          
S04DATA0003_Hz00_875.bin            | 0.875          
S04DATA0004_Hz00_880.bin            | 0.880          
S04DATA0005_Hz00_885.bin            | 0.885          
S04DATA0006_Hz00_890.bin            | 0.890          
S04DATA0007_Hz00_895.bin            | 0.895          
S04DATA0008_Hz00_900.bin            | 0.900          
S04DATA0009_Hz00_905.bin            | 0.905          
S04DATA0010_Hz00_910.bin            | 0.910          
