RIEPILOGO SESSIONE S05
Data: 08/02/2026 21:40:04
Modalità: Automatica
------------------------------------------------------------
NOME FILE                           | PARAMETRO (Hz) 
------------------------------------------------------------
S05DATA0000_Hz04_700.bin            | 4.700          
S05DATA0001_Hz04_720.bin            | 4.720          
S05DATA0002_Hz04_740.bin            | 4.740          
S05DATA0003_Hz04_760.bin            | 4.760          
S05DATA0004_Hz04_780.bin            | 4.780          
S05DATA0005_Hz04_800.bin            | 4.800          
S05DATA0006_Hz04_820.bin            | 4.820          
S05DATA0007_Hz04_840.bin            | 4.840          
S05DATA0008_Hz04_860.bin            | 4.860          
S05DATA0009_Hz04_880.bin            | 4.880          
S05DATA0010_Hz04_900.bin            | 4.900          
S05DATA0011_Hz04_920.bin            | 4.920          
S05DATA0012_Hz04_940.bin            | 4.940          
S05DATA0013_Hz04_960.bin            | 4.960          
S05DATA0014_Hz04_980.bin            | 4.980          
S05DATA0015_Hz05_000.bin            | 5.000          
S05DATA0016_Hz05_020.bin            | 5.020          
S05DATA0017_Hz05_040.bin            | 5.040          
S05DATA0018_Hz05_060.bin            | 5.060          
S05DATA0019_Hz05_080.bin            | 5.080          
S05DATA0020_Hz05_100.bin            | 5.100          
S05DATA0021_Hz05_120.bin            | 5.120          
S05DATA0022_Hz05_140.bin            | 5.140          
S05DATA0023_Hz05_160.bin            | 5.160          
S05DATA0024_Hz05_180.bin            | 5.180          
S05DATA0025_Hz05_200.bin            | 5.200          
S05DATA0026_Hz05_220.bin            | 5.220          
S05DATA0027_Hz05_240.bin            | 5.240          
S05DATA0028_Hz05_260.bin            | 5.260          
S05DATA0029_Hz05_280.bin            | 5.280          
S05DATA0030_Hz05_300.bin            | 5.300          
S05DATA0031_Hz05_320.bin            | 5.320          
S05DATA0032_Hz05_340.bin            | 5.340          
S05DATA0033_Hz05_360.bin            | 5.360          
S05DATA0034_Hz05_380.bin            | 5.380          
S05DATA0035_Hz05_400.bin            | 5.400          
S05DATA0036_Hz05_420.bin            | 5.420          
S05DATA0037_Hz05_440.bin            | 5.440          
S05DATA0038_Hz05_460.bin            | 5.460          
S05DATA0039_Hz05_480.bin            | 5.480          
S05DATA0040_Hz05_500.bin            | 5.500          
S05DATA0041_Hz05_520.bin            | 5.520          
S05DATA0042_Hz05_540.bin            | 5.540          
S05DATA0043_Hz05_560.bin            | 5.560          
S05DATA0044_Hz05_580.bin            | 5.580          
S05DATA0045_Hz05_600.bin            | 5.600          
S05DATA0046_Hz05_620.bin            | 5.620          
S05DATA0047_Hz05_640.bin            | 5.640          
S05DATA0048_Hz05_660.bin            | 5.660          
S05DATA0049_Hz05_680.bin            | 5.680          
S05DATA0050_Hz05_700.bin            | 5.700          
S05DATA0051_Hz05_720.bin            | 5.720          
S05DATA0052_Hz05_740.bin            | 5.740          
S05DATA0053_Hz05_760.bin            | 5.760          
S05DATA0054_Hz05_780.bin            | 5.780          
S05DATA0055_Hz05_800.bin            | 5.800          
S05DATA0056_Hz05_820.bin            | 5.820          
S05DATA0057_Hz05_840.bin            | 5.840          
S05DATA0058_Hz05_860.bin            | 5.860          
S05DATA0059_Hz05_880.bin            | 5.880          
S05DATA0060_Hz05_900.bin            | 5.900          
S05DATA0061_Hz05_920.bin            | 5.920          
S05DATA0062_Hz05_940.bin            | 5.940          
S05DATA0063_Hz05_960.bin            | 5.960          
S05DATA0064_Hz05_980.bin            | 5.980          
S05DATA0065_Hz06_000.bin            | 6.000          
S05DATA0066_Hz06_020.bin            | 6.020          
S05DATA0067_Hz06_040.bin            | 6.040          
S05DATA0068_Hz06_060.bin            | 6.060          
S05DATA0069_Hz06_080.bin            | 6.080          
S05DATA0070_Hz06_100.bin            | 6.100          
S05DATA0071_Hz06_120.bin            | 6.120          
S05DATA0072_Hz06_140.bin            | 6.140          
S05DATA0073_Hz06_160.bin            | 6.160          
S05DATA0074_Hz06_180.bin            | 6.180          
S05DATA0075_Hz06_200.bin            | 6.200          
S05DATA0076_Hz06_220.bin            | 6.220          
S05DATA0077_Hz06_240.bin            | 6.240          
S05DATA0078_Hz06_260.bin            | 6.260          
S05DATA0079_Hz06_280.bin            | 6.280          
S05DATA0080_Hz06_300.bin            | 6.300          
S05DATA0081_Hz06_320.bin            | 6.320          
S05DATA0082_Hz06_340.bin            | 6.340          
S05DATA0083_Hz06_360.bin            | 6.360          
S05DATA0084_Hz06_380.bin            | 6.380          
S05DATA0085_Hz06_400.bin            | 6.400          
S05DATA0086_Hz06_420.bin            | 6.420          
S05DATA0087_Hz06_440.bin            | 6.440          
S05DATA0088_Hz06_460.bin            | 6.460          
S05DATA0089_Hz06_480.bin            | 6.480          
S05DATA0090_Hz06_500.bin            | 6.500          
S05DATA0091_Hz06_520.bin            | 6.520          
S05DATA0092_Hz06_540.bin            | 6.540          
S05DATA0093_Hz06_560.bin            | 6.560          
S05DATA0094_Hz06_580.bin            | 6.580          
S05DATA0095_Hz06_600.bin            | 6.600          
S05DATA0096_Hz06_620.bin            | 6.620          
S05DATA0097_Hz06_640.bin            | 6.640          
S05DATA0098_Hz06_660.bin            | 6.660          
S05DATA0099_Hz06_680.bin            | 6.680          
S05DATA0100_Hz06_700.bin            | 6.700          
S05DATA0101_Hz06_720.bin            | 6.720          
S05DATA0102_Hz06_740.bin            | 6.740          
S05DATA0103_Hz06_760.bin            | 6.760          
S05DATA0104_Hz06_780.bin            | 6.780          
S05DATA0105_Hz06_800.bin            | 6.800          
