RIEPILOGO SESSIONE S03
Data: 08/02/2026 19:02:03
Modalità: Automatica
------------------------------------------------------------
NOME FILE                           | PARAMETRO (Hz) 
------------------------------------------------------------
S03DATA0000_Hz01_300.bin            | 1.300          
S03DATA0001_Hz01_320.bin            | 1.320          
S03DATA0002_Hz01_340.bin            | 1.340          
S03DATA0003_Hz01_360.bin            | 1.360          
S03DATA0004_Hz01_380.bin            | 1.380          
S03DATA0005_Hz01_400.bin            | 1.400          
S03DATA0006_Hz01_420.bin            | 1.420          
S03DATA0007_Hz01_440.bin            | 1.440          
S03DATA0008_Hz01_460.bin            | 1.460          
S03DATA0009_Hz01_480.bin            | 1.480          
S03DATA0010_Hz01_500.bin            | 1.500          
S03DATA0011_Hz01_520.bin            | 1.520          
S03DATA0012_Hz01_540.bin            | 1.540          
S03DATA0013_Hz01_560.bin            | 1.560          
S03DATA0014_Hz01_580.bin            | 1.580          
S03DATA0015_Hz01_600.bin            | 1.600          
S03DATA0016_Hz01_620.bin            | 1.620          
S03DATA0017_Hz01_640.bin            | 1.640          
S03DATA0018_Hz01_660.bin            | 1.660          
S03DATA0019_Hz01_680.bin            | 1.680          
S03DATA0020_Hz01_700.bin            | 1.700          
S03DATA0021_Hz01_720.bin            | 1.720          
S03DATA0022_Hz01_740.bin            | 1.740          
S03DATA0023_Hz01_760.bin            | 1.760          
S03DATA0024_Hz01_780.bin            | 1.780          
S03DATA0025_Hz01_800.bin            | 1.800          
S03DATA0026_Hz01_820.bin            | 1.820          
S03DATA0027_Hz01_840.bin            | 1.840          
S03DATA0028_Hz01_860.bin            | 1.860          
S03DATA0029_Hz01_880.bin            | 1.880          
S03DATA0030_Hz01_900.bin            | 1.900          
S03DATA0031_Hz01_920.bin            | 1.920          
S03DATA0032_Hz01_940.bin            | 1.940          
S03DATA0033_Hz01_960.bin            | 1.960          
S03DATA0034_Hz01_980.bin            | 1.980          
S03DATA0035_Hz02_000.bin            | 2.000          
S03DATA0036_Hz02_020.bin            | 2.020          
S03DATA0037_Hz02_040.bin            | 2.040          
S03DATA0038_Hz02_060.bin            | 2.060          
S03DATA0039_Hz02_080.bin            | 2.080          
S03DATA0040_Hz02_100.bin            | 2.100          
S03DATA0041_Hz02_120.bin            | 2.120          
S03DATA0042_Hz02_140.bin            | 2.140          
S03DATA0043_Hz02_160.bin            | 2.160          
S03DATA0044_Hz02_180.bin            | 2.180          
S03DATA0045_Hz02_200.bin            | 2.200          
S03DATA0046_Hz02_220.bin            | 2.220          
S03DATA0047_Hz02_240.bin            | 2.240          
S03DATA0048_Hz02_260.bin            | 2.260          
S03DATA0049_Hz02_280.bin            | 2.280          
S03DATA0050_Hz02_300.bin            | 2.300          
S03DATA0051_Hz02_320.bin            | 2.320          
S03DATA0052_Hz02_340.bin            | 2.340          
S03DATA0053_Hz02_360.bin            | 2.360          
S03DATA0054_Hz02_380.bin            | 2.380          
S03DATA0055_Hz02_400.bin            | 2.400          
S03DATA0056_Hz02_420.bin            | 2.420          
S03DATA0057_Hz02_440.bin            | 2.440          
S03DATA0058_Hz02_460.bin            | 2.460          
S03DATA0059_Hz02_480.bin            | 2.480          
S03DATA0060_Hz02_500.bin            | 2.500          
