RIEPILOGO SESSIONE S01
Data: 07/02/2026 18:19:53
Modalità: Automatica
------------------------------------------------------------
NOME FILE                           | PARAMETRO (Hz) 
------------------------------------------------------------
S01DATA0000_Hz04_700.bin            | 4.700          
S01DATA0001_Hz04_710.bin            | 4.710          
S01DATA0002_Hz04_720.bin            | 4.720          
S01DATA0003_Hz04_730.bin            | 4.730          
S01DATA0004_Hz04_740.bin            | 4.740          
S01DATA0005_Hz04_750.bin            | 4.750          
S01DATA0006_Hz04_760.bin            | 4.760          
S01DATA0007_Hz04_770.bin            | 4.770          
S01DATA0008_Hz04_780.bin            | 4.780          
S01DATA0009_Hz04_790.bin            | 4.790          
S01DATA0010_Hz04_800.bin            | 4.800          
