RIEPILOGO SESSIONE S07
Data: 09/02/2026 14:18:15
Modalità: Automatica
------------------------------------------------------------
NOME FILE                           | PARAMETRO (Hz) 
------------------------------------------------------------
S07DATA0000_Hz04_300.bin            | 4.300          
S07DATA0001_Hz04_320.bin            | 4.320          
S07DATA0002_Hz04_340.bin            | 4.340          
S07DATA0003_Hz04_360.bin            | 4.360          
S07DATA0004_Hz04_380.bin            | 4.380          
S07DATA0005_Hz04_400.bin            | 4.400          
S07DATA0006_Hz04_420.bin            | 4.420          
S07DATA0007_Hz04_440.bin            | 4.440          
S07DATA0008_Hz04_460.bin            | 4.460          
S07DATA0009_Hz04_480.bin            | 4.480          
S07DATA0010_Hz04_500.bin            | 4.500          
S07DATA0011_Hz04_520.bin            | 4.520          
S07DATA0012_Hz04_540.bin            | 4.540          
S07DATA0013_Hz04_560.bin            | 4.560          
S07DATA0014_Hz04_580.bin            | 4.580          
S07DATA0015_Hz04_600.bin            | 4.600          
S07DATA0016_Hz04_620.bin            | 4.620          
S07DATA0017_Hz04_640.bin            | 4.640          
S07DATA0018_Hz04_660.bin            | 4.660          
S07DATA0019_Hz04_680.bin            | 4.680          
S07DATA0020_Hz04_700.bin            | 4.700          
S07DATA0021_Hz04_720.bin            | 4.720          
S07DATA0022_Hz04_740.bin            | 4.740          
S07DATA0023_Hz04_760.bin            | 4.760          
S07DATA0024_Hz04_780.bin            | 4.780          
S07DATA0025_Hz04_800.bin            | 4.800          
S07DATA0026_Hz04_820.bin            | 4.820          
S07DATA0027_Hz04_840.bin            | 4.840          
S07DATA0028_Hz04_860.bin            | 4.860          
S07DATA0029_Hz04_880.bin            | 4.880          
S07DATA0030_Hz04_900.bin            | 4.900          
S07DATA0031_Hz04_920.bin            | 4.920          
S07DATA0032_Hz04_940.bin            | 4.940          
S07DATA0033_Hz04_960.bin            | 4.960          
S07DATA0034_Hz04_980.bin            | 4.980          
S07DATA0035_Hz05_000.bin            | 5.000          
S07DATA0036_Hz05_020.bin            | 5.020          
S07DATA0037_Hz05_040.bin            | 5.040          
S07DATA0038_Hz05_060.bin            | 5.060          
S07DATA0039_Hz05_080.bin            | 5.080          
S07DATA0040_Hz05_100.bin            | 5.100          
S07DATA0041_Hz05_120.bin            | 5.120          
S07DATA0042_Hz05_140.bin            | 5.140          
S07DATA0043_Hz05_160.bin            | 5.160          
S07DATA0044_Hz05_180.bin            | 5.180          
S07DATA0045_Hz05_200.bin            | 5.200          
S07DATA0046_Hz05_220.bin            | 5.220          
S07DATA0047_Hz05_240.bin            | 5.240          
S07DATA0048_Hz05_260.bin            | 5.260          
S07DATA0049_Hz05_280.bin            | 5.280          
S07DATA0050_Hz05_300.bin            | 5.300          
S07DATA0051_Hz05_320.bin            | 5.320          
S07DATA0052_Hz05_340.bin            | 5.340          
S07DATA0053_Hz05_360.bin            | 5.360          
S07DATA0054_Hz05_380.bin            | 5.380          
S07DATA0055_Hz05_400.bin            | 5.400          
S07DATA0056_Hz05_420.bin            | 5.420          
S07DATA0057_Hz05_440.bin            | 5.440          
S07DATA0058_Hz05_460.bin            | 5.460          
S07DATA0059_Hz05_480.bin            | 5.480          
S07DATA0060_Hz05_500.bin            | 5.500          
S07DATA0061_Hz05_520.bin            | 5.520          
S07DATA0062_Hz05_540.bin            | 5.540          
S07DATA0063_Hz05_560.bin            | 5.560          
S07DATA0064_Hz05_580.bin            | 5.580          
S07DATA0065_Hz05_600.bin            | 5.600          
S07DATA0066_Hz05_620.bin            | 5.620          
S07DATA0067_Hz05_640.bin            | 5.640          
S07DATA0068_Hz05_660.bin            | 5.660          
S07DATA0069_Hz05_680.bin            | 5.680          
S07DATA0070_Hz05_700.bin            | 5.700          
S07DATA0071_Hz05_720.bin            | 5.720          
S07DATA0072_Hz05_740.bin            | 5.740          
S07DATA0073_Hz05_760.bin            | 5.760          
S07DATA0074_Hz05_780.bin            | 5.780          
S07DATA0075_Hz05_800.bin            | 5.800          
S07DATA0076_Hz05_820.bin            | 5.820          
S07DATA0077_Hz05_840.bin            | 5.840          
S07DATA0078_Hz05_860.bin            | 5.860          
S07DATA0079_Hz05_880.bin            | 5.880          
S07DATA0080_Hz05_900.bin            | 5.900          
S07DATA0081_Hz05_920.bin            | 5.920          
S07DATA0082_Hz05_940.bin            | 5.940          
S07DATA0083_Hz05_960.bin            | 5.960          
S07DATA0084_Hz05_980.bin            | 5.980          
S07DATA0085_Hz06_000.bin            | 6.000          
S07DATA0086_Hz06_020.bin            | 6.020          
S07DATA0087_Hz06_040.bin            | 6.040          
S07DATA0088_Hz06_060.bin            | 6.060          
S07DATA0089_Hz06_080.bin            | 6.080          
S07DATA0090_Hz06_100.bin            | 6.100          
S07DATA0091_Hz06_120.bin            | 6.120          
S07DATA0092_Hz06_140.bin            | 6.140          
S07DATA0093_Hz06_160.bin            | 6.160          
S07DATA0094_Hz06_180.bin            | 6.180          
S07DATA0095_Hz06_200.bin            | 6.200          
S07DATA0096_Hz06_220.bin            | 6.220          
S07DATA0097_Hz06_240.bin            | 6.240          
S07DATA0098_Hz06_260.bin            | 6.260          
S07DATA0099_Hz06_280.bin            | 6.280          
S07DATA0100_Hz06_300.bin            | 6.300          
S07DATA0101_Hz06_320.bin            | 6.320          
S07DATA0102_Hz06_340.bin            | 6.340          
S07DATA0103_Hz06_360.bin            | 6.360          
S07DATA0104_Hz06_380.bin            | 6.380          
S07DATA0105_Hz06_400.bin            | 6.400          
S07DATA0106_Hz06_420.bin            | 6.420          
S07DATA0107_Hz06_440.bin            | 6.440          
S07DATA0108_Hz06_460.bin            | 6.460          
S07DATA0109_Hz06_480.bin            | 6.480          
S07DATA0110_Hz06_500.bin            | 6.500          
S07DATA0111_Hz06_520.bin            | 6.520          
S07DATA0112_Hz06_540.bin            | 6.540          
S07DATA0113_Hz06_560.bin            | 6.560          
S07DATA0114_Hz06_580.bin            | 6.580          
S07DATA0115_Hz06_600.bin            | 6.600          
